problem_id,pop8_l0_plus_l0b_correct_of_16,ncand,cache_miss,pass16_by_id,match
cf-00340,14,16,0,14,True
cf-00341,15,16,0,15,True
cf-00342,16,16,0,16,True
cf-00343,0,16,0,0,True
cf-00344,15,16,0,15,True
cf-00345,16,16,0,16,True
cf-00346,0,16,0,0,True
cf-00347,14,16,0,14,True
cf-00348,15,16,0,15,True
cf-00349,9,16,0,9,True
cf-00350,16,16,0,16,True
cf-00351,14,16,0,14,True
cf-00352,14,16,0,14,True
cf-00353,14,16,0,14,True
cf-00354,15,16,0,15,True
cf-00355,2,16,0,2,True
cf-00356,0,16,0,0,True
cf-00357,16,16,0,16,True
cf-00358,12,16,0,12,True
cf-00359,0,16,0,0,True
cf-00360,15,16,0,15,True
cf-00361,16,16,0,16,True
cf-00362,16,16,0,16,True
cf-00363,15,16,0,15,True
cf-00364,3,16,0,3,True
cf-00365,16,16,0,16,True
cf-00366,1,16,0,1,True
cf-00367,1,16,0,1,True
cf-00368,15,16,0,15,True
cf-00369,16,16,0,16,True
cf-00370,16,16,0,16,True
cf-00371,16,16,0,16,True
cf-00372,8,16,0,8,True
cf-00373,2,16,0,2,True
cf-00374,16,16,0,16,True
cf-00375,8,16,0,8,True
cf-00376,15,16,0,15,True
cf-00377,8,16,0,8,True
cf-00378,12,16,0,12,True
cf-00379,16,16,0,16,True
cf-00380,16,16,0,16,True
cf-00381,2,16,0,2,True
cf-00382,16,16,0,16,True
cf-00383,16,16,0,16,True
cf-00384,15,16,0,15,True
cf-00385,2,16,0,2,True
cf-00386,16,16,0,16,True
cf-00387,9,16,0,9,True
cf-00388,16,16,0,16,True
cf-00389,3,16,0,3,True
cf-00390,16,16,0,16,True
cf-00391,3,16,0,3,True
cf-00392,15,16,0,15,True
cf-00393,0,16,0,0,True
cf-00394,11,16,0,11,True
cf-00395,16,16,0,16,True
cf-00396,13,16,0,13,True
cf-00397,16,16,0,16,True
cf-00398,16,16,0,16,True
cf-00399,16,16,0,16,True
cf-00400,16,16,0,16,True
cf-00401,5,16,0,5,True
cf-00402,0,16,0,0,True
cf-00403,3,16,0,3,True
cf-00404,0,16,0,0,True
cf-00405,0,16,0,0,True
cf-00406,14,16,0,14,True
cf-00407,14,16,0,14,True
cf-00408,16,16,0,16,True
cf-00409,16,16,0,16,True
cf-00410,1,16,0,1,True
cf-00411,0,16,0,0,True
cf-00412,0,16,0,0,True
cf-00413,16,16,0,16,True
cf-00414,1,16,0,1,True
cf-00415,16,16,0,16,True
cf-00416,14,16,0,14,True
cf-00417,16,16,0,16,True
cf-00418,15,16,0,15,True
cf-00419,0,16,0,0,True
cf-00420,13,16,0,13,True
cf-00421,0,16,0,0,True
cf-00422,11,16,0,11,True
cf-00423,16,16,0,16,True
cf-00424,0,16,0,0,True
cf-00425,16,16,0,16,True
cf-00426,16,16,0,16,True
cf-00427,0,16,0,0,True
cf-00428,9,16,0,9,True
cf-00429,14,16,0,14,True
cf-00430,16,16,0,16,True
cf-00431,0,16,0,0,True
cf-00432,16,16,0,16,True
cf-00433,14,16,0,14,True
cf-00434,16,16,0,16,True
cf-00435,16,16,0,16,True
cf-00436,0,16,0,0,True
cf-00437,16,16,0,16,True
cf-00438,4,16,0,4,True
cf-00439,15,16,0,15,True
cf-00440,9,16,0,9,True
cf-00441,2,16,0,2,True
cf-00442,16,16,0,16,True
cf-00443,1,16,0,1,True
cf-00444,0,16,0,0,True
cf-00445,16,16,0,16,True
cf-00446,16,16,0,16,True
cf-00447,16,16,0,16,True
cf-00448,16,16,0,16,True
cf-00449,15,16,0,15,True
cf-00450,16,16,0,16,True
cf-00451,0,16,0,0,True
cf-00452,14,16,0,14,True
cf-00453,16,16,0,16,True
cf-00454,8,16,0,8,True
cf-00455,10,16,0,10,True
cf-00456,9,16,0,9,True
cf-00457,8,16,0,8,True
cf-00458,12,16,0,12,True
cf-00459,16,16,0,16,True
cf-00460,8,16,0,8,True
cf-00461,12,16,0,12,True
cf-00462,16,16,0,16,True
cf-00463,14,16,0,14,True
cf-00464,0,16,0,0,True
cf-00465,15,16,0,15,True
cf-00466,5,16,0,5,True
cf-00467,16,16,0,16,True
cf-00468,16,16,0,16,True
cf-00469,15,16,0,15,True
cf-00470,4,16,0,4,True
cf-00471,14,16,0,14,True
cf-00472,8,16,0,8,True
cf-00473,0,16,0,0,True
cf-00474,12,16,0,12,True
cf-00475,16,16,0,16,True
cf-00476,0,16,0,0,True
cf-00477,0,16,0,0,True
cf-00478,3,16,0,3,True
cf-00479,5,16,0,5,True
cf-00480,16,16,0,16,True
cf-00481,7,16,0,7,True
cf-00482,5,16,0,5,True
cf-00483,16,16,0,16,True
cf-00484,16,16,0,16,True
cf-00485,16,16,0,16,True
cf-00486,16,16,0,16,True
cf-00487,2,16,0,2,True
cf-00488,16,16,0,16,True
cf-00489,9,16,0,9,True
cf-00490,1,16,0,1,True
cf-00491,15,16,0,15,True
cf-00492,0,16,0,0,True
cf-00493,16,16,0,16,True
cf-00494,1,16,0,1,True
cf-00495,0,16,0,0,True
cf-00496,2,16,0,2,True
cf-00497,4,16,0,4,True
cf-00498,16,16,0,16,True
cf-00499,10,16,0,10,True
cf-00500,15,16,0,15,True
cf-00501,9,16,0,9,True
cf-00502,16,16,0,16,True
cf-00503,6,16,0,6,True
cf-00504,1,16,0,1,True
cf-00505,16,16,0,16,True
cf-00506,1,16,0,1,True
cf-00507,16,16,0,16,True
cf-00508,8,16,0,8,True
cf-00509,13,16,0,13,True
cf-00510,12,16,0,12,True
cf-00511,12,16,0,12,True
cf-00512,16,16,0,16,True
cf-00513,1,16,0,1,True
cf-00514,10,16,0,10,True
cf-00515,16,16,0,16,True
cf-00516,16,16,0,16,True
cf-00517,16,16,0,16,True
cf-00518,16,16,0,16,True
cf-00519,16,16,0,16,True
cf-00520,16,16,0,16,True
cf-00521,9,16,0,9,True
cf-00522,16,16,0,16,True
cf-00523,0,16,0,0,True
cf-00524,6,16,0,6,True
cf-00525,16,16,0,16,True
cf-00526,16,16,0,16,True
cf-00527,11,16,0,11,True
cf-00528,15,16,0,15,True
cf-00529,16,16,0,16,True
cf-00530,15,16,0,15,True
cf-00531,6,16,0,6,True
cf-00532,0,16,0,0,True
cf-00533,9,16,0,9,True
cf-00534,16,16,0,16,True
cf-00535,3,16,0,3,True
cf-00536,16,16,0,16,True
cf-00537,1,16,0,1,True
cf-00538,16,16,0,16,True
cf-00539,0,16,0,0,True
cf-00540,6,16,0,6,True
cf-00541,0,16,0,0,True
cf-00542,12,16,0,12,True
cf-00543,0,16,0,0,True
cf-00544,16,16,0,16,True
cf-00545,1,16,0,1,True
cf-00546,14,16,0,14,True
cf-00547,0,16,0,0,True
cf-00548,1,16,0,1,True
cf-00549,14,16,0,14,True
cf-00550,16,16,0,16,True
cf-00551,0,16,0,0,True
cf-00552,16,16,0,16,True
cf-00553,13,16,0,13,True
cf-00554,3,16,0,3,True
cf-00555,16,16,0,16,True
cf-00556,15,16,0,15,True
cf-00557,16,16,0,16,True
cf-00558,15,16,0,15,True
cf-00559,16,16,0,16,True
cf-00560,7,16,0,7,True
cf-00561,16,16,0,16,True
cf-00562,14,16,0,14,True
cf-00563,16,16,0,16,True
cf-00564,1,16,0,1,True
cf-00565,12,16,0,12,True
cf-00566,0,16,0,0,True
cf-00567,0,16,0,0,True
cf-00568,5,16,0,5,True
cf-00569,12,16,0,12,True
cf-00570,16,16,0,16,True
cf-00571,11,16,0,11,True
cf-00572,5,16,0,5,True
cf-00573,15,16,0,15,True
cf-00574,16,16,0,16,True
cf-00575,16,16,0,16,True
cf-00576,12,16,0,12,True
cf-00577,15,16,0,15,True
cf-00578,16,16,0,16,True
cf-00579,16,16,0,16,True
cf-00580,16,16,0,16,True
cf-00581,1,16,0,1,True
cf-00582,15,16,0,15,True
cf-00583,0,16,0,0,True
cf-00584,11,16,0,11,True
cf-00585,9,16,0,9,True
cf-00586,16,16,0,16,True
cf-00587,16,16,0,16,True
cf-00588,16,16,0,16,True
cf-00589,14,16,0,14,True
cf-00590,16,16,0,16,True
cf-00591,16,16,0,16,True
cf-00592,13,16,0,13,True
cf-00593,16,16,0,16,True
cf-00594,15,16,0,15,True
cf-00595,0,16,0,0,True
cf-00596,14,16,0,14,True
cf-00597,0,16,0,0,True
cf-00598,15,16,0,15,True
cf-00599,0,16,0,0,True
cf-00600,7,16,0,7,True
cf-00601,14,16,0,14,True
cf-00602,10,16,0,10,True
cf-00603,10,16,0,10,True
cf-00604,12,16,0,12,True
cf-00605,16,16,0,16,True
cf-00606,16,16,0,16,True
cf-00607,0,16,0,0,True
cf-00608,15,16,0,15,True
cf-00609,2,16,0,2,True
cf-00610,14,16,0,14,True
cf-00611,0,16,0,0,True
cf-00612,16,16,0,16,True
cf-00613,16,16,0,16,True
cf-00614,15,16,0,15,True
cf-00615,16,16,0,16,True
cf-00616,16,16,0,16,True
cf-00617,16,16,0,16,True
cf-00618,0,16,0,0,True
cf-00619,7,16,0,7,True
cf-00620,16,16,0,16,True
cf-00621,15,16,0,15,True
cf-00622,12,16,0,12,True
cf-00623,5,16,0,5,True
cf-00624,16,16,0,16,True
cf-00625,0,16,0,0,True
cf-00626,16,16,0,16,True
cf-00627,15,16,0,15,True
cf-00628,16,16,0,16,True
cf-00629,16,16,0,16,True
cf-00630,15,16,0,15,True
cf-00631,0,16,0,0,True
cf-00632,16,16,0,16,True
cf-00633,1,16,0,1,True
cf-00634,16,16,0,16,True
cf-00635,15,16,0,15,True
cf-00636,0,16,0,0,True
cf-00637,15,16,0,15,True
cf-00638,9,16,0,9,True
cf-00639,16,16,0,16,True
cf-00640,0,16,0,0,True
cf-00641,14,16,0,14,True
cf-00642,13,16,0,13,True
cf-00643,16,16,0,16,True
cf-00644,9,16,0,9,True
cf-00645,15,16,0,15,True
cf-00646,16,16,0,16,True
cf-00647,16,16,0,16,True
cf-00648,16,16,0,16,True
cf-00649,3,16,0,3,True
cf-00650,4,16,0,4,True
cf-00651,4,16,0,4,True
cf-00652,13,16,0,13,True
cf-00653,15,16,0,15,True
cf-00654,0,16,0,0,True
cf-00655,12,16,0,12,True
cf-00656,16,16,0,16,True
cf-00657,16,16,0,16,True
cf-00658,8,16,0,8,True
cf-00659,16,16,0,16,True
cf-00660,15,16,0,15,True
cf-00661,16,16,0,16,True
cf-00662,16,16,0,16,True
cf-00663,9,16,0,9,True
cf-00664,16,16,0,16,True
cf-00665,1,16,0,1,True
cf-00666,15,16,0,15,True
cf-00667,8,16,0,8,True
cf-00668,2,16,0,2,True
cf-00669,16,16,0,16,True
cf-00670,13,16,0,13,True
cf-00671,15,16,0,15,True
cf-00672,13,16,0,13,True
cf-00673,16,16,0,16,True
cf-00674,9,16,0,9,True
cf-00675,13,16,0,13,True
cf-00676,16,16,0,16,True
cf-00677,15,16,0,15,True
cf-00678,16,16,0,16,True
cf-00679,15,16,0,15,True
cf-00680,3,16,0,3,True
cf-00681,8,16,0,8,True
cf-00682,14,16,0,14,True
cf-00683,16,16,0,16,True
cf-00684,13,16,0,13,True
cf-00685,7,16,0,7,True
cf-00686,4,16,0,4,True
cf-00687,16,16,0,16,True
cf-00688,8,16,0,8,True
cf-00689,16,16,0,16,True
cf-00690,9,16,0,9,True
cf-00691,0,16,0,0,True
cf-00692,13,16,0,13,True
cf-00693,16,16,0,16,True
cf-00694,16,16,0,16,True
cf-00695,1,16,0,1,True
cf-00696,3,16,0,3,True
cf-00697,0,16,0,0,True
cf-00698,16,16,0,16,True
cf-00699,15,16,0,15,True
cf-00700,16,16,0,16,True
cf-00701,10,16,0,10,True
cf-00702,16,16,0,16,True
cf-00703,14,16,0,14,True
cf-00704,13,16,0,13,True
cf-00705,0,16,0,0,True
cf-00706,11,16,0,11,True
cf-00707,16,16,0,16,True
cf-00708,16,16,0,16,True
cf-00709,15,16,0,15,True
cf-00710,7,16,0,7,True
cf-00711,16,16,0,16,True
cf-00712,16,16,0,16,True
cf-00713,0,16,0,0,True
cf-00714,13,16,0,13,True
cf-00715,16,16,0,16,True
cf-00716,15,16,0,15,True
cf-00717,16,16,0,16,True
cf-00718,1,16,0,1,True
cf-00719,12,16,0,12,True
cf-00720,16,16,0,16,True
cf-00721,15,16,0,15,True
cf-00722,0,16,0,0,True
cf-00723,16,16,0,16,True
cf-00724,0,16,0,0,True
cf-00725,2,16,0,2,True
cf-00726,14,16,0,14,True
cf-00727,15,16,0,15,True
cf-00728,16,16,0,16,True
cf-00729,16,16,0,16,True
cf-00730,16,16,0,16,True
cf-00731,16,16,0,16,True
cf-00732,2,16,0,2,True
cf-00733,0,16,0,0,True
cf-00734,11,16,0,11,True
cf-00735,16,16,0,16,True
cf-00736,2,16,0,2,True
cf-00737,16,16,0,16,True
cf-00738,0,16,0,0,True
cf-00739,0,16,0,0,True
cf-00740,16,16,0,16,True
cf-00741,0,16,0,0,True
cf-00742,14,16,0,14,True
cf-00743,14,16,0,14,True
cf-00744,14,16,0,14,True
cf-00745,8,16,0,8,True
cf-00746,13,16,0,13,True
cf-00747,0,16,0,0,True
cf-00748,11,16,0,11,True
cf-00749,16,16,0,16,True
cf-00750,15,16,0,15,True
cf-00751,0,16,0,0,True
cf-00752,10,16,0,10,True
cf-00753,9,16,0,9,True
cf-00754,16,16,0,16,True
cf-00755,13,16,0,13,True
cf-00756,0,16,0,0,True
cf-00757,9,16,0,9,True
cf-00758,6,16,0,6,True
cf-00759,0,16,0,0,True
cf-00760,1,16,0,1,True
cf-00761,8,16,0,8,True
cf-00762,16,16,0,16,True
cf-00763,10,16,0,10,True
cf-00764,0,16,0,0,True
cf-00765,14,16,0,14,True
cf-00766,16,16,0,16,True
cf-00767,4,16,0,4,True
cf-00768,16,16,0,16,True
cf-00769,13,16,0,13,True
cf-00770,0,16,0,0,True
cf-00771,12,16,0,12,True
cf-00772,12,16,0,12,True
cf-00773,0,16,0,0,True
cf-00774,16,16,0,16,True
cf-00775,16,16,0,16,True
cf-00776,16,16,0,16,True
cf-00777,16,16,0,16,True
cf-00778,16,16,0,16,True
cf-00779,6,16,0,6,True
cf-00780,4,16,0,4,True
cf-00781,15,16,0,15,True
cf-00782,0,16,0,0,True
cf-00783,16,16,0,16,True
cf-00784,3,16,0,3,True
cf-00785,14,16,0,14,True
cf-00786,0,16,0,0,True
cf-00787,13,16,0,13,True
cf-00788,4,16,0,4,True
cf-00789,16,16,0,16,True
cf-00790,16,16,0,16,True
cf-00791,16,16,0,16,True
cf-00792,10,16,0,10,True
cf-00793,15,16,0,15,True
cf-00794,15,16,0,15,True
cf-00795,16,16,0,16,True
cf-00796,16,16,0,16,True
cf-00797,16,16,0,16,True
cf-00798,3,16,0,3,True
cf-00799,12,16,0,12,True
cf-00800,16,16,0,16,True
cf-00801,14,16,0,14,True
cf-00802,16,16,0,16,True
cf-00803,9,16,0,9,True
cf-00804,12,16,0,12,True
cf-00805,16,16,0,16,True
cf-00806,12,16,0,12,True
cf-00807,11,16,0,11,True
cf-00808,12,16,0,12,True
cf-00809,5,16,0,5,True
cf-00810,5,16,0,5,True
cf-00811,14,16,0,14,True
cf-00812,12,16,0,12,True
cf-00813,8,16,0,8,True
cf-00814,10,16,0,10,True
cf-00815,16,16,0,16,True
cf-00816,10,16,0,10,True
cf-00817,15,16,0,15,True
cf-00818,16,16,0,16,True
cf-00819,0,16,0,0,True
cf-00820,15,16,0,15,True
cf-00821,16,16,0,16,True
cf-00822,16,16,0,16,True
cf-00823,16,16,0,16,True
cf-00824,9,16,0,9,True
cf-00825,5,16,0,5,True
cf-00826,0,16,0,0,True
cf-00827,15,16,0,15,True
cf-00828,16,16,0,16,True
cf-00829,4,16,0,4,True
cf-00830,16,16,0,16,True
cf-00831,0,16,0,0,True
cf-00832,3,16,0,3,True
cf-00833,15,16,0,15,True
cf-00834,0,16,0,0,True
cf-00835,0,16,0,0,True
cf-00836,16,16,0,16,True
cf-00837,16,16,0,16,True
cf-00838,11,16,0,11,True
cf-00839,11,16,0,11,True
cf-00840,16,16,0,16,True
cf-00841,16,16,0,16,True
cf-00842,0,16,0,0,True
cf-00843,11,16,0,11,True
cf-00844,0,16,0,0,True
cf-00845,9,16,0,9,True
cf-00846,0,16,0,0,True
cf-00847,7,16,0,7,True
cf-00848,15,16,0,15,True
cf-00849,15,16,0,15,True
cf-00850,0,16,0,0,True
cf-00851,13,16,0,13,True
cf-00852,16,16,0,16,True
cf-00853,9,16,0,9,True
cf-00854,16,16,0,16,True
cf-00855,15,16,0,15,True
cf-00856,16,16,0,16,True
cf-00857,15,16,0,15,True
cf-00858,16,16,0,16,True
cf-00859,0,16,0,0,True
cf-00860,16,16,0,16,True
cf-00861,0,16,0,0,True
cf-00862,15,16,0,15,True
cf-00863,14,16,0,14,True
cf-00864,16,16,0,16,True
cf-00865,10,16,0,10,True
cf-00866,9,16,0,9,True
cf-00867,9,16,0,9,True
cf-00868,16,16,0,16,True
