problem_id,frontier_definition,reference16_correct,se16_loop0_correct,loop1_correct,loop2_correct,loop3_correct_or_blank,first_solved_loop,initial_bucket_ref16,in_ref244,in_run243,source_ck_dir
cf-00189,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00192,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00195,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00210,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00211,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh4
cf-00217,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00224,ref244+run243,0,0,0,1,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh5
cf-00229,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00246,ref244+run243,0,0,2,2,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00249,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-00253,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-00258,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00265,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh3
cf-00271,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00277,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh4
cf-00284,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00286,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00288,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh5
cf-00290,ref244+run243,0,0,1,0,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00301,ref244+run243,0,0,1,3,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00310,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00313,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-00315,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00318,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh0
cf-00319,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh1
cf-00323,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00333,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh1
cf-00336,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00337,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00343,ref244+run243,0,0,1,8,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-00346,ref244+run243,0,0,1,4,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00356,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00359,ref244+run243,0,0,0,1,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00393,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00402,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh1
cf-00404,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00405,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00411,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00412,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh1
cf-00419,ref244+run243,0,0,11,12,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00421,ref244+run243,0,0,1,0,0,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00424,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00427,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-00431,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00436,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00444,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00451,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00464,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00473,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00476,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00477,ref244+run243,0,0,0,2,5,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00492,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00495,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00523,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00532,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00539,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-00541,ref244+run243,0,0,0,2,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh4
cf-00543,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00547,ref244+run243,0,0,0,3,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00551,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00566,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00567,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh0
cf-00583,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-00595,ref244+run243,0,0,0,2,1,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-00597,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-00599,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00607,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00611,ref244+run243,0,0,0,1,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00618,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00625,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh5
cf-00631,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00636,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-00640,ref244+run243,0,0,3,12,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh0
cf-00654,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00691,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00697,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00705,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00713,ref244+run243,0,0,1,0,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00722,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh5
cf-00724,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh0
cf-00733,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00738,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh0
cf-00739,ref244+run243,0,0,1,2,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh1
cf-00741,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00747,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00751,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00756,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00759,ref244+run243,0,0,0,16,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-00764,ref244+run243,0,0,1,5,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00770,ref244+run243,0,0,1,1,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00773,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00782,ref244+run243,0,0,5,10,12,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00786,ref244+run243,0,0,2,0,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh4
cf-00819,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00826,ref244+run243,0,0,2,5,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00831,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00834,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00835,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00842,ref244+run243,0,0,2,0,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-00844,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00846,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00850,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00859,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00861,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00880,ref244+run243,0,0,0,1,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh0
cf-00884,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00885,ref244+run243,0,0,0,1,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00890,ref244+run243,0,0,0,1,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh0
cf-00891,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh1
cf-00898,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-00900,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00904,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-00914,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00916,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-00919,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00923,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00933,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-00936,ref244+run243,0,0,0,1,1,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-00941,ref244+run243,0,0,2,6,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00947,ref244+run243,0,0,5,14,16,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-00952,ref244+run243,0,0,0,1,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00956,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-00958,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-00968,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00980,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-00984,ref244+run243,0,0,0,6,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-00985,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-00989,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-01010,ref244+run243,0,0,1,1,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh4
cf-01025,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-01026,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-01029,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-01034,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-01061,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-01064,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh1
cf-01066,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-01082,ref244+run243,0,0,2,3,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-01093,ref244+run243,0,0,4,8,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-01101,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-01102,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-01106,ref244+run243,0,0,2,0,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh4
cf-01112,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-01125,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh5
cf-01127,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh0
cf-01130,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-01134,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-01166,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-01168,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-01171,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-01182,ref244+run243,0,0,1,5,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-01193,ref244+run243,0,0,0,4,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-01196,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-01200,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-01201,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh5
cf-01209,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-01214,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh0
cf-01222,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-01223,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-01228,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh1
cf-01230,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-01235,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-01237,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-01239,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh3
cf-01260,ref244+run243,0,0,0,1,1,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-01267,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-01271,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-01292,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-01302,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-01304,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-01311,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-01320,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-01333,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh0
cf-01339,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-01344,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
cf-01355,ref244+run243,0,0,1,1,4,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-01366,ref244+run243,0,0,2,5,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-01368,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-01373,ref244+run243,0,0,4,12,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh0
cf-01376,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-01380,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-01389,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh2
cf-01392,ref244+run243,0,0,0,1,,2,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh7
cf-01397,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh2
cf-01406,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-01415,ref244+run243,0,0,1,4,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh4
cf-01424,ref244+run243,0,0,1,4,10,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh3
cf-01427,ref244+run243,0,0,0,0,0,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh4
cf-01428,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/redo_sh5
cf-01430,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh8
cf-01432,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-01445,ref244+run243,0,0,16,16,,1,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh1
cf-01450,ref244+run243,0,0,0,0,,,0/16,True,True,outputs/openthoughts114k_codeforces_full_datagen/se16/sh4
